ID,weight_BEFORE_bronze,weight_AFTER_gold,freight_BEFORE_bronze,freight_AFTER_gold,vendor_BEFORE_bronze,vendor_AFTER_gold,delay_days,is_delayed,delay_probability,risk_category
11661,1587,1587.0,11206.84,11206.84,SCMS from RDC,SCMS from RDC,0,0,0.198,LOW
11662,4414,4414.0,4506.2,4506.2,SCMS from RDC,SCMS from RDC,0,0,0.226,LOW
11663,2078,2078.0,2400.25,2400.25,SCMS from RDC,SCMS from RDC,0,0,0.291,LOW
11664,18,18.0,423.89,423.89,SCMS from RDC,SCMS from RDC,0,0,0.083,LOW
11665,507,507.0,7445.8,7445.8,SCMS from RDC,SCMS from RDC,0,0,0.114,LOW
11666,76,76.0,7445.8,7445.8,SCMS from RDC,SCMS from RDC,0,0,0.018,LOW
11667,13037,13037.0,7445.8,7445.8,SCMS from RDC,SCMS from RDC,0,0,0.04,LOW
11668,19,19.0,1133,1133.0,SCMS from RDC,SCMS from RDC,0,0,0.102,LOW
11669,327,327.0,2737.97,2737.97,SCMS from RDC,SCMS from RDC,0,0,0.01,LOW
11670,39,39.0,6811.39,6811.39,SCMS from RDC,SCMS from RDC,0,0,0.102,LOW
11672,"See DN-1382 (ID#:10788)",1047.0,"See DN-1382 (ID#:10788)",,SCMS from RDC,SCMS from RDC,0,0,0.103,LOW
11673,20144,20144.0,8281.69,8281.69,SCMS from RDC,SCMS from RDC,0,0,0.299,LOW
11674,1348,1348.0,5233.52,5233.52,SCMS from RDC,SCMS from RDC,0,0,0.189,LOW
11675,"See DN-1387 (ID#:11674)",1047.0,"See DN-1387 (ID#:11674)",,SCMS from RDC,SCMS from RDC,0,0,0.185,LOW
11677,256,256.0,2014.86,2014.86,SCMS from RDC,SCMS from RDC,0,0,0.127,LOW
11678,847,847.0,4999.48,4999.48,SCMS from RDC,SCMS from RDC,0,0,0.178,LOW
11679,1582,1582.0,6037.19,6037.19,SCMS from RDC,SCMS from RDC,0,0,0.137,LOW
11680,1051,1051.0,6575.7,6575.7,SCMS from RDC,SCMS from RDC,0,0,0.154,LOW
11681,13680,13680.0,16339.98,16339.98,SCMS from RDC,SCMS from RDC,0,0,0.211,LOW
11682,5317,5317.0,11005.67,11005.67,SCMS from RDC,SCMS from RDC,0,0,0.204,LOW
11683,640,640.0,5678.7,5678.7,SCMS from RDC,SCMS from RDC,0,0,0.167,LOW
11684,570,570.0,9341.49,9341.49,SCMS from RDC,SCMS from RDC,0,0,0.115,LOW
11685,22,22.0,9341.49,9341.49,SCMS from RDC,SCMS from RDC,0,0,0.043,LOW
11687,979,979.0,1588.06,1588.06,SCMS from RDC,SCMS from RDC,0,0,0.223,LOW
11688,1488,1488.0,4764.16,4764.16,SCMS from RDC,SCMS from RDC,0,0,0.147,LOW
11689,45,45.0,749.25,749.25,SCMS from RDC,SCMS from RDC,0,0,0.115,LOW
11690,"See DN-1470 (ID#:10798)",1047.0,"See DN-1470 (ID#:10798)",,SCMS from RDC,SCMS from RDC,0,0,0.114,LOW
11691,18,18.0,523.45,523.45,SCMS from RDC,SCMS from RDC,0,0,0.091,LOW
11692,7663,7663.0,33279.39,33279.39,SCMS from RDC,SCMS from RDC,0,0,0.127,LOW
11693,"See DN-1487 (ID#:11073)",1047.0,"See DN-1487 (ID#:11073)",,SCMS from RDC,SCMS from RDC,0,0,0.097,LOW
11694,"See DN-1488 (ID#:11074)",1047.0,"See DN-1488 (ID#:11074)",,SCMS from RDC,SCMS from RDC,0,0,0.115,LOW
11695,2832,2832.0,4897.42,4897.42,SCMS from RDC,SCMS from RDC,0,0,0.298,LOW
11697,778,778.0,4702.02,4702.02,SCMS from RDC,SCMS from RDC,0,0,0.156,LOW
11698,"See DN-15 (ID#:10804)",1047.0,"See DN-15 (ID#:10804)",,SCMS from RDC,SCMS from RDC,0,0,0.184,LOW
11703,"See DN-16 (ID#:10540)",1047.0,"See DN-16 (ID#:10540)",,SCMS from RDC,SCMS from RDC,0,0,0.015,LOW
11706,60,60.0,6012,6012.0,SCMS from RDC,SCMS from RDC,0,0,0.002,LOW
11707,1109,1109.0,9437.24,9437.24,SCMS from RDC,SCMS from RDC,0,0,0.02,LOW
11708,Weight Captured Separately,1047.0,596.4,596.4,SCMS from RDC,SCMS from RDC,0,0,0.181,LOW
11709,"See DN-72 (ID#:11097)",1047.0,"See DN-72 (ID#:11097)",,SCMS from RDC,SCMS from RDC,0,0,0.007,LOW
11710,401,401.0,2208,2208.0,SCMS from RDC,SCMS from RDC,0,0,0.012,LOW
11711,24,24.0,1027,1027.0,SCMS from RDC,SCMS from RDC,0,0,0.0,LOW
11712,Weight Captured Separately,1047.0,977.64,977.64,SCMS from RDC,SCMS from RDC,0,0,0.016,LOW
11713,910,910.0,3026,3026.0,SCMS from RDC,SCMS from RDC,0,0,0.014,LOW
11714,"See DN-71 (ID#:11374)",1047.0,"See DN-71 (ID#:11374)",,SCMS from RDC,SCMS from RDC,0,0,0.004,LOW
11715,32,32.0,944.67,944.67,SCMS from RDC,SCMS from RDC,0,0,0.005,LOW
11716,1699,1699.0,8526.94,8526.94,SCMS from RDC,SCMS from RDC,0,0,0.003,LOW
11718,992,992.0,3205,3205.0,SCMS from RDC,SCMS from RDC,0,0,0.01,LOW
11719,"See DN-44 (ID#:10549)",1047.0,"See DN-44 (ID#:10549)",,SCMS from RDC,SCMS from RDC,0,0,0.159,LOW
11721,963,963.0,3142,3142.0,SCMS from RDC,SCMS from RDC,0,0,0.011,LOW
11722,104,104.0,1458,1458.0,SCMS from RDC,SCMS from RDC,0,0,0.017,LOW
11723,969,969.0,3155,3155.0,SCMS from RDC,SCMS from RDC,0,0,0.01,LOW
11724,"See DN-187 (ID#:10825)",1047.0,"See DN-187 (ID#:10825)",,SCMS from RDC,SCMS from RDC,0,0,0.011,LOW
11725,395,395.0,1848.37,1848.37,SCMS from RDC,SCMS from RDC,0,0,0.135,LOW
11731,"See DN-199 (ID#:11391)",1047.0,"See DN-199 (ID#:11391)",,SCMS from RDC,SCMS from RDC,0,0,0.017,LOW
11732,2515,2515.0,6834,6834.0,SCMS from RDC,SCMS from RDC,0,0,0.066,LOW
11733,142,142.0,1489.52,1489.52,SCMS from RDC,SCMS from RDC,0,0,0.016,LOW
11735,"See DN-141 (ID#:10571)",1047.0,"See DN-141 (ID#:10571)",,SCMS from RDC,SCMS from RDC,0,0,0.01,LOW
11737,54,54.0,952.04,952.04,SCMS from RDC,SCMS from RDC,0,0,0.006,LOW
11738,570,570.0,5348,5348.0,SCMS from RDC,SCMS from RDC,0,0,0.198,LOW
11739,"See DN-269 (ID#:11738)",1047.0,"See DN-269 (ID#:11738)",,SCMS from RDC,SCMS from RDC,0,0,0.137,LOW
11740,176,176.0,2102,2102.0,SCMS from RDC,SCMS from RDC,0,0,0.006,LOW
11741,1802,1802.0,3267,3267.0,SCMS from RDC,SCMS from RDC,0,0,0.175,LOW
11742,36,36.0,939.62,939.62,SCMS from RDC,SCMS from RDC,0,0,0.005,LOW
11743,178,178.0,1105.9,1105.9,SCMS from RDC,SCMS from RDC,0,0,0.014,LOW
11744,957,957.0,3243,3243.0,SCMS from RDC,SCMS from RDC,0,0,0.15,LOW
11745,1005,1005.0,4407.26,4407.26,SCMS from RDC,SCMS from RDC,0,0,0.023,LOW
11747,255,255.0,1388,1388.0,SCMS from RDC,SCMS from RDC,0,0,0.09,LOW
11749,1879,1879.0,9538.74,9538.74,SCMS from RDC,SCMS from RDC,0,0,0.048,LOW
11750,821,821.0,5234.8,5234.8,SCMS from RDC,SCMS from RDC,0,0,0.007,LOW
11751,"See DN-258 (ID#:11425)",1047.0,"See DN-258 (ID#:11425)",,SCMS from RDC,SCMS from RDC,0,0,0.211,LOW
11753,"See DN-290 (ID#:10859)",1047.0,"See DN-290 (ID#:10859)",,SCMS from RDC,SCMS from RDC,0,0,0.019,LOW
11754,750,750.0,3901.78,3901.78,SCMS from RDC,SCMS from RDC,0,0,0.015,LOW
11755,"See DN-304 (ID#:10589)",1047.0,"See DN-304 (ID#:10589)",,SCMS from RDC,SCMS from RDC,0,0,0.152,LOW
11756,"See DN-304 (ID#:10589)",1047.0,"See DN-304 (ID#:10589)",,SCMS from RDC,SCMS from RDC,0,0,0.191,LOW
11757,285,285.0,1786,1786.0,SCMS from RDC,SCMS from RDC,0,0,0.011,LOW
11758,"See DN-314 (ID#:11757)",1047.0,"See DN-314 (ID#:11757)",,SCMS from RDC,SCMS from RDC,0,0,0.025,LOW
11761,343,343.0,1645.12,1645.12,SCMS from RDC,SCMS from RDC,0,0,0.017,LOW
11762,12779,12779.0,41772.09,41772.09,SCMS from RDC,SCMS from RDC,0,0,0.216,LOW
11764,152,152.0,912.45,912.45,SCMS from RDC,SCMS from RDC,0,0,0.018,LOW
11765,1581,1581.0,5663,5663.0,SCMS from RDC,SCMS from RDC,0,0,0.18,LOW
11766,"See DN-320 (ID#:10593)",1047.0,"See DN-320 (ID#:10593)",,SCMS from RDC,SCMS from RDC,0,0,0.015,LOW
11767,"See DN-320 (ID#:10593)",1047.0,"See DN-320 (ID#:10593)",,SCMS from RDC,SCMS from RDC,0,0,0.024,LOW
11769,39,39.0,541.42,541.42,SCMS from RDC,SCMS from RDC,0,0,0.002,LOW
11780,"See DN-324 (ID#:10610)",1047.0,"See DN-324 (ID#:10610)",,SCMS from RDC,SCMS from RDC,0,0,0.017,LOW
11787,3951,3951.0,13788.25,13788.25,SCMS from RDC,SCMS from RDC,0,0,0.142,LOW
11792,"See DN-379 (ID#:10890)",1047.0,"See DN-379 (ID#:10890)",,SCMS from RDC,SCMS from RDC,0,0,0.181,LOW
11798,"See DN-384 (ID#:10901)",1047.0,"See DN-384 (ID#:10901)",,SCMS from RDC,SCMS from RDC,0,0,0.09,LOW
11799,"See DN-384 (ID#:10901)",1047.0,"See DN-384 (ID#:10901)",,SCMS from RDC,SCMS from RDC,0,0,0.03,LOW
11801,3327,3327.0,13606.4,13606.4,SCMS from RDC,SCMS from RDC,0,0,0.08,LOW
11802,2510,2510.0,23907.05,23907.05,SCMS from RDC,SCMS from RDC,0,0,0.194,LOW
11803,186,186.0,2056.98,2056.98,SCMS from RDC,SCMS from RDC,0,0,0.082,LOW
11804,2678,2678.0,9008.48,9008.48,SCMS from RDC,SCMS from RDC,0,0,0.145,LOW
11805,"See DN-426 (ID#:10633)",1047.0,"See DN-426 (ID#:10633)",,SCMS from RDC,SCMS from RDC,0,0,0.174,LOW
11806,"See DN-426 (ID#:10633)",1047.0,"See DN-426 (ID#:10633)",,SCMS from RDC,SCMS from RDC,0,0,0.183,LOW
11807,5309,5309.0,17358.74,17358.74,SCMS from RDC,SCMS from RDC,0,0,0.201,LOW
11808,"See DN-422 (ID#:10634)",1047.0,"See DN-422 (ID#:10634)",,SCMS from RDC,SCMS from RDC,0,0,0.154,LOW
11810,2262,2262.0,7364.52,7364.52,SCMS from RDC,SCMS from RDC,0,0,0.169,LOW
11811,"See DN-434 (ID#:11483)",1047.0,"See DN-434 (ID#:11483)",,SCMS from RDC,SCMS from RDC,0,0,0.183,LOW
11812,"See DN-434 (ID#:11483)",1047.0,"See DN-434 (ID#:11483)",,SCMS from RDC,SCMS from RDC,0,0,0.187,LOW
11813,"See DN-434 (ID#:11483)",1047.0,"See DN-434 (ID#:11483)",,SCMS from RDC,SCMS from RDC,0,0,0.181,LOW
11814,285,285.0,2523.6,2523.6,SCMS from RDC,SCMS from RDC,0,0,0.093,LOW
11815,39,39.0,1278,1278.0,SCMS from RDC,SCMS from RDC,0,0,0.008,LOW
11817,296,296.0,2372.8,2372.8,SCMS from RDC,SCMS from RDC,0,0,0.041,LOW
11818,"See DN-482 (ID#:11496)",1047.0,"See DN-482 (ID#:11496)",,SCMS from RDC,SCMS from RDC,0,0,0.038,LOW
11821,"See DN-500 (ID#:11213)",1047.0,"See DN-500 (ID#:11213)",,SCMS from RDC,SCMS from RDC,0,0,0.108,LOW
11824,4583,4583.0,14554.5,14554.5,SCMS from RDC,SCMS from RDC,0,0,0.023,LOW
11825,128,128.0,845,845.0,SCMS from RDC,SCMS from RDC,0,0,0.015,LOW
11826,48,48.0,1260.1,1260.1,SCMS from RDC,SCMS from RDC,0,0,0.086,LOW
11827,"See DN-535 (ID#:10658)",1047.0,"See DN-535 (ID#:10658)",,SCMS from RDC,SCMS from RDC,0,0,0.157,LOW
11829,2153,2153.0,24448,24448.0,SCMS from RDC,SCMS from RDC,0,0,0.078,LOW
11830,1215,1215.0,8586,8586.0,SCMS from RDC,SCMS from RDC,0,0,0.184,LOW
11832,"See DN-488 (ID#:10652)",1047.0,"See DN-488 (ID#:10652)",,SCMS from RDC,SCMS from RDC,0,0,0.176,LOW
11833,"See DN-489 (ID#:11516)",1047.0,"See DN-489 (ID#:11516)",,SCMS from RDC,SCMS from RDC,0,0,0.139,LOW
11834,3195,3195.0,36417.89,36417.89,SCMS from RDC,SCMS from RDC,0,0,0.091,LOW
11837,"See DN-535 (ID#:10658)",1047.0,"See DN-535 (ID#:10658)",,SCMS from RDC,SCMS from RDC,0,0,0.139,LOW
11839,"See DN-569 (ID#:11224)",1047.0,"See DN-569 (ID#:11224)",,SCMS from RDC,SCMS from RDC,0,0,0.175,LOW
11840,362,362.0,8143.19,8143.19,SCMS from RDC,SCMS from RDC,0,0,0.032,LOW
11841,4082,4082.0,17600.24,17600.24,SCMS from RDC,SCMS from RDC,-56,0,0.019,LOW
11842,344,344.0,1729,1729.0,SCMS from RDC,SCMS from RDC,0,0,0.232,LOW
11843,1988,1988.0,6146,6146.0,SCMS from RDC,SCMS from RDC,18,1,0.234,LOW
11845,2533,2533.0,9187.8,9187.8,SCMS from RDC,SCMS from RDC,0,0,0.154,LOW
11846,369,369.0,1902.9,1902.9,SCMS from RDC,SCMS from RDC,0,0,0.113,LOW
11847,"See DN-550 (ID#:11846)",1047.0,"See DN-550 (ID#:11846)",,SCMS from RDC,SCMS from RDC,0,0,0.014,LOW
11850,5181,5181.0,17975.21,17975.21,SCMS from RDC,SCMS from RDC,0,0,0.138,LOW
11851,"See DN-559 (ID#:10940)",1047.0,"See DN-559 (ID#:10940)",,SCMS from RDC,SCMS from RDC,0,0,0.152,LOW
11852,"See DN-581 (ID#:10667)",1047.0,"See DN-581 (ID#:10667)",,SCMS from RDC,SCMS from RDC,0,0,0.188,LOW
11854,Weight Captured Separately,1047.0,Invoiced Separately,,SCMS from RDC,SCMS from RDC,0,0,0.155,LOW
11855,"See DN-604 (ID#:11527)",1047.0,"See DN-604 (ID#:11527)",,SCMS from RDC,SCMS from RDC,0,0,0.15,LOW
11856,"See DN-604 (ID#:11527)",1047.0,"See DN-604 (ID#:11527)",,SCMS from RDC,SCMS from RDC,0,0,0.169,LOW
11857,"See DN-685 (ID#:11234)",1047.0,"See DN-685 (ID#:11234)",,SCMS from RDC,SCMS from RDC,0,0,0.184,LOW
11858,422,422.0,2812.3,2812.3,SCMS from RDC,SCMS from RDC,0,0,0.039,LOW
11859,"See DN-823 (ID#:11271)",1047.0,"See DN-823 (ID#:11271)",,SCMS from RDC,SCMS from RDC,0,0,0.233,LOW
11860,52,52.0,1422.32,1422.32,SCMS from RDC,SCMS from RDC,0,0,0.054,LOW
11861,"See DN-737 (ID#:11533)",1047.0,"See DN-737 (ID#:11533)",,SCMS from RDC,SCMS from RDC,0,0,0.176,LOW
11862,300,300.0,2204,2204.0,SCMS from RDC,SCMS from RDC,0,0,0.043,LOW
11863,58,58.0,1110.5,1110.5,SCMS from RDC,SCMS from RDC,0,0,0.011,LOW
11864,4733,4733.0,6002.19,6002.19,SCMS from RDC,SCMS from RDC,0,0,0.143,LOW
11865,1832,1832.0,11815.12,11815.12,SCMS from RDC,SCMS from RDC,0,0,0.137,LOW
11866,7806,7806.0,45047.32,45047.32,SCMS from RDC,SCMS from RDC,0,0,0.147,LOW
11867,"See DN-761 (ID#:10951)",1047.0,"See DN-761 (ID#:10951)",,SCMS from RDC,SCMS from RDC,0,0,0.185,LOW
11868,3224,3224.0,4217.45,4217.45,SCMS from RDC,SCMS from RDC,0,0,0.253,LOW
11869,185,185.0,1214.2,1214.2,SCMS from RDC,SCMS from RDC,0,0,0.172,LOW
11870,"See DN-617 (ID#:11236)",1047.0,"See DN-617 (ID#:11236)",,SCMS from RDC,SCMS from RDC,0,0,0.004,LOW
11873,"See DN-673 (ID#:10682)",1047.0,"See DN-673 (ID#:10682)",,SCMS from RDC,SCMS from RDC,0,0,0.185,LOW
11874,453,453.0,1606.93,1606.93,SCMS from RDC,SCMS from RDC,0,0,0.008,LOW
11875,"See DN-800 (ID#:10953)",1047.0,"See DN-800 (ID#:10953)",,SCMS from RDC,SCMS from RDC,0,0,0.177,LOW
11876,"See DN-744 (ID#:10684)",1047.0,"See DN-744 (ID#:10684)",,SCMS from RDC,SCMS from RDC,0,0,0.168,LOW
11877,2173,2173.0,9906.63,9906.63,SCMS from RDC,SCMS from RDC,0,0,0.086,LOW
11878,"See DN-625 (ID#:10956)",1047.0,"See DN-625 (ID#:10956)",,SCMS from RDC,SCMS from RDC,0,0,0.034,LOW
11879,"See DN-834 (ID#:10686)",1047.0,"See DN-834 (ID#:10686)",,SCMS from RDC,SCMS from RDC,0,0,0.177,LOW
11880,"See DN-733 (ID#:10688)",1047.0,"See DN-733 (ID#:10688)",,SCMS from RDC,SCMS from RDC,0,0,0.17,LOW
11881,"See DN-734 (ID#:10689)",1047.0,"See DN-734 (ID#:10689)",,SCMS from RDC,SCMS from RDC,0,0,0.184,LOW
11882,"See DN-770 (ID#:10959)",1047.0,"See DN-770 (ID#:10959)",,SCMS from RDC,SCMS from RDC,0,0,0.083,LOW
11883,2427,2427.0,8381.22,8381.22,SCMS from RDC,SCMS from RDC,0,0,0.178,LOW
11884,608,608.0,1996.68,1996.68,SCMS from RDC,SCMS from RDC,0,0,0.141,LOW
11887,"See DN-797 (ID#:10966)",1047.0,"See DN-797 (ID#:10966)",,SCMS from RDC,SCMS from RDC,0,0,0.164,LOW
11888,144,144.0,2504.44,2504.44,SCMS from RDC,SCMS from RDC,0,0,0.149,LOW
11890,490,490.0,1765.4,1765.4,SCMS from RDC,SCMS from RDC,0,0,0.184,LOW
11891,"See DN-698 (ID#:10970)",1047.0,"See DN-698 (ID#:10970)",,SCMS from RDC,SCMS from RDC,0,0,0.156,LOW
11892,1636,1636.0,6195.24,6195.24,SCMS from RDC,SCMS from RDC,0,0,0.065,LOW
11893,"See DN-634 (ID#:10972)",1047.0,"See DN-634 (ID#:10972)",,SCMS from RDC,SCMS from RDC,0,0,0.144,LOW
11894,395,395.0,1746.3,1746.3,SCMS from RDC,SCMS from RDC,0,0,0.135,LOW
11895,236,236.0,1651.16,1651.16,SCMS from RDC,SCMS from RDC,0,0,0.069,LOW
11897,21,21.0,1730.41,1730.41,SCMS from RDC,SCMS from RDC,0,0,0.007,LOW
11899,"See DN-690 (ID#:10706)",1047.0,"See DN-690 (ID#:10706)",,SCMS from RDC,SCMS from RDC,0,0,0.219,LOW
11900,965,965.0,838.83,838.83,SCMS from RDC,SCMS from RDC,0,0,0.048,LOW
11902,346,346.0,1988.9,1988.9,SCMS from RDC,SCMS from RDC,0,0,0.123,LOW
11903,538,538.0,7100.67,7100.67,SCMS from RDC,SCMS from RDC,0,0,0.201,LOW
11904,"See DN-946 (ID#:10983)",1047.0,"See DN-946 (ID#:10983)",,SCMS from RDC,SCMS from RDC,0,0,0.108,LOW
11905,"See DN-1015 (ID#:11561)",1047.0,"See DN-1015 (ID#:11561)",,SCMS from RDC,SCMS from RDC,0,0,0.183,LOW
11906,"See DN-998 (ID#:11568)",1047.0,"See DN-998 (ID#:11568)",,SCMS from RDC,SCMS from RDC,0,0,0.15,LOW
11907,702,702.0,8762.02,8762.02,SCMS from RDC,SCMS from RDC,0,0,0.16,LOW
11908,"See DN-859 (ID#:11907)",1047.0,"See DN-859 (ID#:11907)",,SCMS from RDC,SCMS from RDC,0,0,0.198,LOW
11909,925,925.0,9185.15,9185.15,SCMS from RDC,SCMS from RDC,0,0,0.169,LOW
11910,82,82.0,1151.48,1151.48,SCMS from RDC,SCMS from RDC,0,0,0.109,LOW
11913,"See DN-1105 (ID#:11303)",1047.0,"See DN-1105 (ID#:11303)",,SCMS from RDC,SCMS from RDC,0,0,0.155,LOW
11914,2695,2695.0,11898.8,11898.8,SCMS from RDC,SCMS from RDC,0,0,0.04,LOW
11916,"See DN-1004 (ID#:11280)",1047.0,"See DN-1004 (ID#:11280)",,SCMS from RDC,SCMS from RDC,0,0,0.007,LOW
11917,6124,6124.0,13353.34,13353.34,SCMS from RDC,SCMS from RDC,0,0,0.1,LOW
11918,979,979.0,11836.61,11836.61,SCMS from RDC,SCMS from RDC,0,0,0.176,LOW
11919,1162,1162.0,3629.37,3629.37,SCMS from RDC,SCMS from RDC,0,0,0.222,LOW
11920,455,455.0,3754.14,3754.14,SCMS from RDC,SCMS from RDC,0,0,0.22,LOW
11921,"See DN-909 (ID#:10727)",1047.0,"See DN-909 (ID#:10727)",,SCMS from RDC,SCMS from RDC,0,0,0.175,LOW
11923,187,187.0,5110.42,5110.42,SCMS from RDC,SCMS from RDC,0,0,0.12,LOW
11924,544,544.0,5029.05,5029.05,SCMS from RDC,SCMS from RDC,0,0,0.18,LOW
11925,"See DN-893 (ID#:11596)",1047.0,"See DN-893 (ID#:11596)",,SCMS from RDC,SCMS from RDC,0,0,0.018,LOW
11926,"See DN-1034 (ID#:10732)",1047.0,"See DN-1034 (ID#:10732)",,SCMS from RDC,SCMS from RDC,0,0,0.108,LOW
11927,163,163.0,7795,7795.0,SCMS from RDC,SCMS from RDC,0,0,0.006,LOW
11928,115,115.0,1297.57,1297.57,SCMS from RDC,SCMS from RDC,0,0,0.184,LOW
11932,3273,3273.0,6443.63,6443.63,SCMS from RDC,SCMS from RDC,0,0,0.045,LOW
11933,"See DN-917 (ID#:10745)",1047.0,"See DN-917 (ID#:10745)",,SCMS from RDC,SCMS from RDC,0,0,0.01,LOW
11934,"See DN-917 (ID#:10745)",1047.0,"See DN-917 (ID#:10745)",,SCMS from RDC,SCMS from RDC,0,0,0.163,LOW
11935,"See DN-917 (ID#:10745)",1047.0,"See DN-917 (ID#:10745)",,SCMS from RDC,SCMS from RDC,0,0,0.174,LOW
11936,"See DN-944 (ID#:11012)",1047.0,"See DN-944 (ID#:11012)",,SCMS from RDC,SCMS from RDC,0,0,0.185,LOW
11937,"See DN-944 (ID#:11012)",1047.0,"See DN-944 (ID#:11012)",,SCMS from RDC,SCMS from RDC,0,0,0.178,LOW
11938,47,47.0,1432.88,1432.88,SCMS from RDC,SCMS from RDC,0,0,0.047,LOW
11939,621,621.0,4099.51,4099.51,SCMS from RDC,SCMS from RDC,0,0,0.137,LOW
11940,6650,6650.0,36855.6,36855.6,SCMS from RDC,SCMS from RDC,0,0,0.179,LOW
11942,"See DN-945 (ID#:11018)",1047.0,"See DN-945 (ID#:11018)",,SCMS from RDC,SCMS from RDC,0,0,0.131,LOW
11943,"See DN-945 (ID#:11018)",1047.0,"See DN-945 (ID#:11018)",,SCMS from RDC,SCMS from RDC,0,0,0.132,LOW
11944,"See DN-1060 (ID#:11618)",1047.0,"See DN-1060 (ID#:11618)",,SCMS from RDC,SCMS from RDC,0,0,0.173,LOW
11945,5588,5588.0,18617.93,18617.93,SCMS from RDC,SCMS from RDC,0,0,0.164,LOW
11946,"See DN-960 (ID#:11945)",1047.0,"See DN-960 (ID#:11945)",,SCMS from RDC,SCMS from RDC,0,0,0.046,LOW
11947,"See DN-960 (ID#:11945)",1047.0,"See DN-960 (ID#:11945)",,SCMS from RDC,SCMS from RDC,0,0,0.163,LOW
11948,88190,88190.0,11519.94,11519.94,SCMS from RDC,SCMS from RDC,0,0,0.11,LOW
11949,"See DN-1124 (ID#:11620)",1047.0,"See DN-1124 (ID#:11620)",,SCMS from RDC,SCMS from RDC,0,0,0.192,LOW
11950,2096,2096.0,19495.73,19495.73,SCMS from RDC,SCMS from RDC,0,0,0.163,LOW
11951,77,77.0,1286,1286.0,SCMS from RDC,SCMS from RDC,0,0,0.234,LOW
11953,1603,1603.0,8539.26,8539.26,SCMS from RDC,SCMS from RDC,0,0,0.017,LOW
11954,"See DN-988 (ID#:11022)",1047.0,"See DN-988 (ID#:11022)",,SCMS from RDC,SCMS from RDC,0,0,0.114,LOW
11955,7189,7189.0,11492.86,11492.86,SCMS from RDC,SCMS from RDC,0,0,0.115,LOW
11956,485,485.0,22985.73,22985.73,SCMS from RDC,SCMS from RDC,0,0,0.117,LOW
11957,Weight Captured Separately,1047.0,Invoiced Separately,,SCMS from RDC,SCMS from RDC,0,0,0.146,LOW
11958,Weight Captured Separately,1047.0,Invoiced Separately,,SCMS from RDC,SCMS from RDC,0,0,0.114,LOW
11959,"See DN-933 (ID#:10755)",1047.0,"See DN-933 (ID#:10755)",,SCMS from RDC,SCMS from RDC,0,0,0.122,LOW
11960,"See DN-1163 (ID#:11030)",1047.0,"See DN-1163 (ID#:11030)",,SCMS from RDC,SCMS from RDC,0,0,0.17,LOW
11961,Weight Captured Separately,1047.0,Invoiced Separately,,SCMS from RDC,SCMS from RDC,0,0,0.177,LOW
11962,125,125.0,1328.03,1328.03,SCMS from RDC,SCMS from RDC,0,0,0.14,LOW
11963,98,98.0,1763.84,1763.84,SCMS from RDC,SCMS from RDC,0,0,0.153,LOW
11964,1320,1320.0,6759.55,6759.55,SCMS from RDC,SCMS from RDC,0,0,0.145,LOW
11966,"See DN-1193 (ID#:11312)",1047.0,"See DN-1193 (ID#:11312)",,SCMS from RDC,SCMS from RDC,0,0,0.074,LOW
11967,235,235.0,2922.53,2922.53,SCMS from RDC,SCMS from RDC,0,0,0.047,LOW
11968,"See DN-1221 (ID#:11636)",1047.0,"See DN-1221 (ID#:11636)",,SCMS from RDC,SCMS from RDC,0,0,0.191,LOW
11969,"See DN-1231 (ID#:11044)",1047.0,"See DN-1231 (ID#:11044)",,SCMS from RDC,SCMS from RDC,0,0,0.154,LOW
11970,3337,3337.0,9936.96,9936.96,SCMS from RDC,SCMS from RDC,0,0,0.172,LOW
11971,"See DN-1238 (ID#:11046)",1047.0,"See DN-1238 (ID#:11046)",,SCMS from RDC,SCMS from RDC,0,0,0.188,LOW
11972,"See DN-1238 (ID#:11046)",1047.0,"See DN-1238 (ID#:11046)",,SCMS from RDC,SCMS from RDC,0,0,0.165,LOW
11973,227,227.0,1943.05,1943.05,SCMS from RDC,SCMS from RDC,0,0,0.222,LOW
11974,"See DN-1176 (ID#:11973)",1047.0,"See DN-1176 (ID#:11973)",,SCMS from RDC,SCMS from RDC,0,0,0.171,LOW
11975,7736,7736.0,10069.54,10069.54,SCMS from RDC,SCMS from RDC,0,0,0.138,LOW
11980,"See DN-1244 (ID#:11048)",1047.0,"See DN-1244 (ID#:11048)",,SCMS from RDC,SCMS from RDC,0,0,0.159,LOW
11981,"See DN-1250 (ID#:10774)",1047.0,"See DN-1250 (ID#:10774)",,SCMS from RDC,SCMS from RDC,0,0,0.164,LOW
11983,"See DN-1261 (ID#:11647)",1047.0,"See DN-1261 (ID#:11647)",,SCMS from RDC,SCMS from RDC,0,0,0.181,LOW
11988,111,111.0,12448.02,12448.02,SCMS from RDC,SCMS from RDC,0,0,0.206,LOW
11989,"See DN-1289 (ID#:11332)",1047.0,"See DN-1289 (ID#:11332)",,SCMS from RDC,SCMS from RDC,0,0,0.163,LOW
11990,1866,1866.0,6111.2,6111.2,SCMS from RDC,SCMS from RDC,0,0,0.142,LOW
11991,"See DN-1303 (ID#:11661)",1047.0,"See DN-1303 (ID#:11661)",,SCMS from RDC,SCMS from RDC,0,0,0.194,LOW
11992,120,120.0,1670.63,1670.63,SCMS from RDC,SCMS from RDC,0,0,0.119,LOW
